,paths,bbox,texts
0,0,"[188, 245, 64, 21]","[23, 22, 29, 0, 6, 6, 2, 2]"
1,1,"[315, 303, 65, 23]","[23, 22, 29, 0, 6, 6, 2, 2]"
2,10,"[122, 101, 63, 23]","[23, 22, 29, 0, 6, 6, 2, 2]"
3,100,"[215, 340, 66, 22]","[11, 31, 35, 0, 9, 9, 8, 1]"
4,1000,"[48, 300, 130, 40]","[23, 11, 33, 0, 4, 2, 9, 7]"
5,1001,"[81, 368, 130, 44]","[23, 11, 33, 0, 4, 2, 9, 7]"
6,1002,"[30, 264, 131, 44]","[23, 11, 33, 0, 4, 2, 9, 7]"
7,1003,"[288, 258, 131, 44]","[23, 11, 33, 0, 4, 2, 9, 7]"
8,1004,"[172, 128, 131, 44]","[23, 11, 33, 0, 4, 2, 9, 7]"
9,1005,"[88, 302, 131, 49]","[23, 11, 33, 0, 4, 2, 9, 7]"
10,1006,"[129, 273, 132, 48]","[23, 11, 33, 0, 4, 2, 9, 7]"
11,1007,"[59, 229, 131, 46]","[23, 11, 33, 0, 4, 2, 9, 7]"
12,1008,"[75, 285, 130, 45]","[23, 11, 33, 0, 4, 2, 9, 7]"
13,1009,"[40, 262, 131, 43]","[23, 11, 33, 0, 4, 2, 9, 7]"
14,101,"[208, 156, 67, 21]","[11, 31, 35, 0, 9, 9, 8, 1]"
15,1010,"[114, 264, 129, 43]","[23, 11, 33, 0, 4, 2, 9, 7]"
16,1011,"[96, 198, 130, 43]","[23, 11, 33, 0, 4, 2, 9, 7]"
17,1012,"[289, 310, 130, 42]","[23, 11, 33, 0, 4, 2, 9, 7]"
18,1013,"[52, 233, 130, 43]","[23, 11, 33, 0, 4, 2, 9, 7]"
19,1014,"[221, 187, 130, 42]","[23, 11, 33, 0, 4, 2, 9, 7]"
20,1015,"[146, 246, 131, 43]","[23, 11, 33, 0, 4, 2, 9, 7]"
21,1016,"[206, 121, 130, 43]","[23, 11, 33, 0, 4, 2, 9, 7]"
22,1017,"[54, 221, 130, 41]","[23, 11, 33, 0, 4, 2, 9, 7]"
23,1018,"[213, 177, 131, 44]","[23, 11, 33, 0, 4, 2, 9, 7]"
24,1019,"[137, 365, 132, 43]","[23, 11, 33, 0, 4, 2, 9, 7]"
25,102,"[181, 401, 67, 22]","[11, 31, 35, 0, 9, 9, 8, 1]"
26,1020,"[53, 383, 105, 34]","[11, 35, 12, 0, 2, 5, 9, 10]"
27,1021,"[21, 363, 106, 33]","[11, 35, 12, 0, 2, 5, 9, 10]"
28,1022,"[296, 276, 105, 33]","[11, 35, 12, 0, 2, 5, 9, 10]"
29,1023,"[56, 150, 106, 35]","[11, 35, 12, 0, 2, 5, 9, 10]"
30,1024,"[75, 31, 108, 34]","[11, 35, 12, 0, 2, 5, 9, 10]"
31,1025,"[82, 297, 107, 36]","[11, 35, 12, 0, 2, 5, 9, 10]"
32,1026,"[217, 212, 108, 35]","[11, 35, 12, 0, 2, 5, 9, 10]"
33,1027,"[262, 105, 109, 35]","[11, 35, 12, 0, 2, 5, 9, 10]"
34,1028,"[289, 189, 109, 35]","[11, 35, 12, 0, 2, 5, 9, 10]"
35,1029,"[40, 238, 110, 35]","[11, 35, 12, 0, 2, 5, 9, 10]"
36,103,"[351, 28, 69, 23]","[11, 31, 35, 0, 9, 9, 8, 1]"
37,1030,"[312, 338, 110, 36]","[11, 35, 12, 0, 2, 5, 9, 10]"
38,1031,"[145, 87, 111, 34]","[11, 35, 12, 0, 2, 5, 9, 10]"
39,1032,"[40, 170, 111, 36]","[11, 35, 12, 0, 2, 5, 9, 10]"
40,1033,"[39, 371, 113, 35]","[11, 35, 12, 0, 2, 5, 9, 10]"
41,1034,"[214, 304, 113, 37]","[11, 35, 12, 0, 2, 5, 9, 10]"
42,1035,"[174, 364, 114, 35]","[11, 35, 12, 0, 2, 5, 9, 10]"
43,1036,"[168, 156, 114, 37]","[11, 35, 12, 0, 2, 5, 9, 10]"
44,1037,"[143, 235, 115, 37]","[11, 35, 12, 0, 2, 5, 9, 10]"
45,1038,"[245, 79, 114, 36]","[11, 35, 12, 0, 2, 5, 9, 10]"
46,1039,"[263, 157, 115, 37]","[11, 35, 12, 0, 2, 5, 9, 10]"
47,104,"[235, 130, 70, 24]","[11, 31, 35, 0, 9, 9, 8, 1]"
48,1040,"[243, 124, 115, 37]","[11, 35, 12, 0, 2, 5, 9, 10]"
49,1041,"[25, 195, 118, 39]","[11, 35, 12, 0, 2, 5, 9, 10]"
50,1042,"[176, 254, 117, 37]","[11, 35, 12, 0, 2, 5, 9, 10]"
51,1043,"[293, 327, 118, 38]","[11, 35, 12, 0, 2, 5, 9, 10]"
52,1044,"[168, 164, 118, 38]","[11, 35, 12, 0, 2, 5, 9, 10]"
53,1045,"[167, 217, 119, 38]","[11, 35, 12, 0, 2, 5, 9, 10]"
54,1046,"[86, 152, 119, 38]","[11, 35, 12, 0, 2, 5, 9, 10]"
55,1047,"[111, 120, 119, 38]","[11, 35, 12, 0, 2, 5, 9, 10]"
56,1048,"[193, 59, 121, 38]","[11, 35, 12, 0, 2, 5, 9, 10]"
57,1049,"[180, 119, 121, 38]","[11, 35, 12, 0, 2, 5, 9, 10]"
58,105,"[134, 42, 70, 24]","[11, 31, 35, 0, 9, 9, 8, 1]"
59,1050,"[88, 267, 124, 38]","[11, 32, 19, 0, 1, 10, 5, 10]"
60,1051,"[207, 107, 123, 37]","[11, 32, 19, 0, 1, 10, 5, 10]"
61,1052,"[204, 376, 125, 46]","[11, 32, 19, 0, 1, 10, 5, 10]"
62,1053,"[172, 175, 128, 42]","[11, 32, 19, 0, 1, 10, 5, 10]"
63,1054,"[169, 248, 127, 40]","[11, 32, 19, 0, 1, 10, 5, 10]"
64,1055,"[155, 84, 131, 41]","[11, 32, 19, 0, 1, 10, 5, 10]"
65,1056,"[158, 75, 131, 41]","[11, 32, 19, 0, 1, 10, 5, 10]"
66,1057,"[55, 163, 131, 42]","[11, 32, 19, 0, 1, 10, 5, 10]"
67,1058,"[33, 379, 135, 43]","[11, 32, 19, 0, 1, 10, 5, 10]"
68,1059,"[286, 286, 134, 44]","[11, 32, 19, 0, 1, 10, 5, 10]"
69,106,"[330, 237, 71, 25]","[11, 31, 35, 0, 9, 9, 8, 1]"
70,1060,"[246, 255, 135, 43]","[11, 32, 19, 0, 1, 10, 5, 10]"
71,1061,"[101, 52, 138, 45]","[11, 32, 19, 0, 1, 10, 5, 10]"
72,1062,"[200, 198, 139, 45]","[11, 32, 19, 0, 1, 10, 5, 10]"
